abbreviatedaddress,city,zipcode,latitude,longitude,bathrooms,bedrooms,lotsize,date_sold,price,zestimate,median_income
4008 SE Kelly St,Portland,97202,45.49956894,-122.6212006,1,2,4356,5/20/2021,535000,550300,39879
6936 SE 28th Ave,Portland,97202,45.473526,-122.6341248,2,4,4791,8/16/2020,775000,874600,39879
1515 SE Claybourne St,Portland,97202,45.47534943,-122.6506195,1,2,5227,5/4/2021,521000,539700,39879
7941 SE 36th Ave,Portland,97202,45.46573639,-122.6265259,3,4,6098,12/13/2020,830000,903000,39879
6908 SE Cesar E Chavez Blvd,Portland,97202,45.47317886,-122.6222839,2,3,6969,8/11/2020,525000,598800,39879
3605 SE 16th Ave,Portland,97202,45.49659729,-122.6495514,3,3,4791,5/7/2021,550000,569000,39879
5733 SE 22nd Ave,Portland,97202,45.48112106,-122.6437607,2,3,4791,5/7/2021,739000,759400,39879
7106 SE 18th Ave,Portland,97202,45.4731636,-122.6463547,1,1,4791,11/15/2020,500000,554500,39879
931 SE Bush St,Portland,97202,45.49512863,-122.6559753,2,3,5227,11/18/2020,582500,645400,39879
5825 SE 21st Ave,Portland,97202,45.48043442,-122.644722,2,4,4791,6/28/2021,700000,704000,39879
3909 SE Malden St,Portland,97202,45.46796036,-122.6223526,2,4,4791,9/4/2020,565000,640100,39879
2014 SE Lambert St,Portland,97202,45.46810532,-122.6437225,2,3,4791,5/28/2021,821000,838000,39879
8064 SE 19th Ave,Portland,97202,45.46459198,-122.6448364,4,4,3049,7/5/2020,737500,832700,39879
4622 SE 32nd Ave,Portland,97202,45.48920822,-122.6320953,3,3,4791,8/21/2020,525000,597200,39879
8714 SE 19th Ave,Portland,97202,45.45975113,-122.6447449,1,2,4791,4/29/2021,500000,518900,39879
4014 SE Long St,Portland,97202,45.48860168,-122.621376,3,4,4791,10/25/2020,875000,964500,39879
4354 SE 28th Pl,Portland,97202,45.49123764,-122.6363602,2,3,5000,11/18/2020,180000,570000,39879
3814 SE Martins St,Portland,97202,45.47823715,-122.6232224,2,5,20037,4/18/2021,1195000,1237200,39879
1834 SE Exeter Dr,Portland,97202,45.45686722,-122.6514206,2,4,21250,7/15/2021,1625000,1628500,39879
7235 SE 22nd Ave,Portland,97202,45.47240067,-122.6429062,3,4,4791,1/5/2021,673000,725800,39879
7961 SE 19th Ave,Portland,97202,45.46622849,-122.6453629,1,3,3920,3/15/2021,535000,566600,39879
1839 SE Exeter Dr,Portland,97202,45.45697784,-122.6523819,2,3,19166,12/10/2020,998000,1136900,39879
6617 SE Reed College Pl,Portland,97202,45.4745903,-122.6296768,3,4,5662,3/17/2021,975000,1023200,39879
7749 SE 17th Ave,Portland,97202,45.46858978,-122.6473923,3,4,2613,1/19/2021,728000,781300,39879
3617 SE 11th Ave,Portland,97202,45.49662018,-122.6551208,3,3,4791,5/18/2021,549900,565800,39879
2103 SE Tenino St,Portland,97202,45.46382141,-122.642868,2,3,3920,8/11/2020,511250,583100,39879
6604 SE 38th Ave,Portland,97202,45.47520065,-122.6233749,3,4,7405,10/22/2020,925000,1020700,39879
4411 SE 35th Pl,Portland,97202,45.49098587,-122.6280212,2,3,4791,8/11/2020,550000,627300,39879
3228 SE 23rd Ave,Portland,97202,45.49940491,-122.6423416,1,3,3049,4/12/2021,630000,659200,39879
2928 SE Woodstock Blvd,Portland,97202,45.47880936,-122.6327667,7,5,24829,9/27/2020,2050000,2285600,39879
4839 SE 36th Pl,Portland,97202,45.48755264,-122.6259918,4,5,4791,9/27/2020,1149000,1279100,39879
2326 SE Woodward St,Portland,97202,45.5017395,-122.6419754,2,4,4356,9/27/2020,651000,724700,39879
2445 SE Tacoma St,Portland,97202,45.46498489,-122.6399002,2,4,3920,7/22/2020,515000,585200,39879
3036 SE 33rd Ave,Portland,97202,45.50066757,-122.6312866,1,4,4356,12/10/2020,605000,665800,39879
3943 SE 28th Pl,Portland,97202,45.49408722,-122.63694,2,3,4791,9/27/2020,525000,590600,39879
7855 SE 16th Ave,Portland,97202,45.46773529,-122.6493301,3,4,5227,7/15/2021,1200000,1201300,39879
3837 SE 14th Ave,Portland,97202,45.49481964,-122.65168,2,2,4791,12/10/2020,510000,561200,39879
1574 SE Linn St,Portland,97202,45.45911026,-122.649437,2,3,4791,7/22/2020,600000,681700,39879
1536 SE Marion St,Portland,97202,45.45982361,-122.6502151,1,2,4791,10/22/2020,350000,497200,39879
632 SE Manchester Pl,Portland,97202,45.45648193,-122.6485672,3,5,10890,6/29/2021,1325000,1336600,39879
808 SE Miller St,Portland,97202,45.46628189,-122.6577682,1,2,3484,4/29/2021,627500,651200,39879
4214 SE 27th Ave,Portland,97202,45.49250031,-122.638298,1,2,5000,10/13/2020,295000,516700,39879
1133 SE Harney St,Portland,97202,45.46240234,-122.6541901,3,4,4791,6/1/2021,925120,942700,39879
3738 SE Francis St,Portland,97202,45.49454117,-122.6238708,4,4,2613,1/21/2021,572500,620500,39879
7216 SE 20th Ave,Portland,97202,45.47259521,-122.6442947,2,3,4791,12/10/2020,515000,566700,39879
3667 SE Rex St,Portland,97202,45.468647,-122.6248169,4,5,3920,11/18/2020,861477,943100,39879
1546 SE Marion St,Portland,97202,45.45982361,-122.6500244,2,2,4791,12/10/2020,490000,539200,39879
4144 SE Franklin St,Portland,97202,45.49869537,-122.6192017,3,5,10890,12/22/2020,684000,741900,39879
1927 SE Harold St,Portland,97202,45.48337173,-122.6459503,1,3,6098,2/10/2021,542500,583300,39879
7634 SE 18th Ave,Portland,97202,45.46969223,-122.6459427,2,4,4791,11/13/2020,710000,778700,39879
2725 SE 31st Ave,Portland,97202,45.50311279,-122.6338882,3,3,4791,10/15/2020,825000,926300,39879
1734 SE Clatsop St,Portland,97202,45.46053314,-122.6462479,2,3,4791,9/27/2020,595000,669400,39879
4112 SE Francis St,Portland,97202,45.49453354,-122.6195221,1,2,4791,2/10/2021,263000,497700,39879
3824 SE 27th Ave,Portland,97202,45.49507904,-122.6383133,2,3,4791,6/3/2021,790000,804400,39879
7015 SE 20th Ave,Portland,97202,45.4736557,-122.6450119,1,3,4791,6/17/2021,610000,619600,39879
2804 SE 17th Ave,Portland,97202,45.50263977,-122.6484375,1,2,2178,7/15/2021,500000,501600,39879
7124 SE 32nd Ave,Portland,97202,45.47243118,-122.6300735,2,3,4791,11/18/2020,715000,783500,39879
4125 SE 32nd Ave,Portland,97202,45.49290085,-122.6329956,2,4,4791,10/22/2020,505000,564100,39879
4108 SE Nehalem St,Portland,97202,45.46548843,-122.6207657,2,2,9147,6/1/2021,530000,542000,39879
1405 SE Clatsop St,Portland,97202,45.46097565,-122.6518097,2,4,5000,7/7/2020,557000,635400,39879
3329 SE Kelly St,Portland,97202,45.50002289,-122.6308212,2,3,3920,4/9/2021,575000,602500,39879
621 SE Manchester Pl,Portland,97202,45.45705795,-122.6493988,3,3,10890,11/13/2020,1333000,1540000,39879
3946 SE Taggart St,Portland,97202,45.50242615,-122.6216125,2,3,4791,9/4/2020,585000,662900,39879
2626 SE 16th Ave,Portland,97202,45.50397873,-122.6494751,4,4,2178,7/13/2020,715000,805593,39879
6905 SE 22nd Ave,Portland,97202,45.47447968,-122.643158,2,4,4791,10/11/2020,745625,827900,39879
3306 SE Brooklyn St,Portland,97202,45.50101089,-122.6313095,2,4,4791,8/13/2020,621750,708900,39879
6834 SE Reed College Pl,Portland,97202,45.47374344,-122.6289368,3,4,6098,5/21/2021,1081000,1104500,39879
7214 SE 28th Ave,Portland,97202,45.47225189,-122.6343002,3,4,6098,9/4/2020,830000,932000,39879
3211-3217 SE 25th Ave,Portland,97202,45.49959183,-122.6409531,2,2,5000,6/17/2021,624900,634800,39879
6653 SE 31st Ave,Portland,97202,45.47461319,-122.6317215,3,3,4791,3/9/2021,925000,973500,39879
8065 SE 16th Ave,Portland,97202,45.46472931,-122.6493301,4,4,3920,7/30/2020,705000,797100,39879
7025 SE 18th Ave,Portland,97202,45.47340012,-122.6469803,3,4,4791,5/28/2021,900000,917000,39879
6615 SE 20th Ave,Portland,97202,45.47545624,-122.6452255,3,3,4791,1/21/2021,679900,729400,39879
3305 SE Tacoma St,Portland,97202,45.46350098,-122.6289368,2,2,15681,1/10/2021,490000,533300,39879
7535 SE 20th Ave,Portland,97202,45.4704895,-122.6445313,2,3,2613,7/15/2021,715000,716300,39879
2817 SE 26th Ave,Portland,97202,45.50237656,-122.6398926,3,4,3049,4/6/2021,745000,775600,39879
902 SE Bidwell St,Portland,97202,45.46772385,-122.6567535,2,3,3000,5/21/2021,815000,834100,39879
7639 SE 30th Ave,Portland,97202,45.46889877,-122.6327209,4,5,7405,5/20/2021,1350000,1380000,39879
3751 SE Franklin St,Portland,97202,45.4992981,-122.6241531,2,4,3920,2/4/2021,675000,720100,39879
6308 SE 28th Ave,Portland,97202,45.47658539,-122.6343155,4,6,12632,4/6/2021,1265000,1316900,39879
7905 SE 29th Ave,Portland,97202,45.46769333,-122.6337357,4,5,6534,7/12/2021,1700000,1701300,39879
3806 SE Lafayette Ct,Portland,97202,45.49586487,-122.623703,2,3,4791,6/17/2021,550000,558700,39879
3559 SE Harold Ct,Portland,97202,45.48358154,-122.6265717,2,3,6969,9/24/2020,566100,637600,39879
7735 SE 19th Ave,Portland,97202,45.46875,-122.6454391,4,4,5662,7/9/2021,793000,795000,39879
2636 SE Division St,Portland,97202,45.50458527,-122.638855,1,3,4791,10/27/2020,699000,770500,39879
3024 SE 8th Ave,Portland,97202,45.50108719,-122.6574936,4,7,4791,6/17/2021,600000,609500,39879
3576 SE Woodward St,Portland,97202,45.50171661,-122.6268158,4,4,5000,1/13/2021,1300000,1398000,39879
1935 SE Tacoma St,Portland,97202,45.46453476,-122.6442566,1,2,4791,3/18/2021,495000,523600,39879
6102 SE 22nd Ave,Portland,97202,45.47853088,-122.6430588,1,2,4791,6/17/2021,555000,563700,39879
8515 SE 16th Ave,Portland,97202,45.46118164,-122.6493378,1,2,4791,11/13/2020,370000,566000,39879
7506 SE 18th Ave,Portland,97202,45.47081375,-122.6460724,2,3,4791,9/7/2020,600000,678900,39879
6021 SE 20th Ave,Portland,97202,45.47866058,-122.6456146,3,4,5662,3/26/2021,840000,874500,39879
6705 SE 20th Ave,Portland,97202,45.47518539,-122.645195,2,3,4791,3/24/2021,588000,620300,39879
4727 SE 35th Pl,Portland,97202,45.48876572,-122.6275635,2,3,5227,5/28/2021,526500,539600,39879
1636 SE Knapp St,Portland,97202,45.47142029,-122.6489029,3,2,871,7/13/2021,490000,490700,39879
5951 SE 19th Ave,Portland,97202,45.4792099,-122.6466904,3,4,5662,7/9/2021,875000,875900,39879
7736 SE Milwaukie Ave,Portland,97202,45.46889496,-122.6478348,3,3,4791,2/4/2021,675000,720400,39879
1728 SE Clatsop St,Portland,97202,45.46053314,-122.6464386,3,5,4791,10/5/2020,550000,617300,39879
3721 SE Lambert St,Portland,97202,45.46727371,-122.6237183,2,3,4791,11/19/2020,560000,620200,39879
5205 SE 33rd Ave,Portland,97202,45.48557663,-122.6311951,4,4,10454,11/19/2020,785000,859200,39879
3737 SE Haig St,Portland,97202,45.4985466,-122.6242676,1,2,6534,11/13/2020,545000,604900,39879
2104 SE Reedway St,Portland,97202,45.48146057,-122.6442413,3,3,4900,7/30/2020,615000,703900,39879
8815 SE 9th Ave,Portland,97202,45.45904922,-122.6572952,2,4,5227,3/9/2021,694000,730400,39879
2135 SE Bybee Blvd,Portland,97202,45.47420502,-122.6431198,3,3,4791,9/29/2020,625000,702700,39879
6231 SE 34th Ave,Portland,97202,45.47722626,-122.6285477,1,3,6969,7/30/2020,641290,734000,39879
1605 SE Malden St,Portland,97202,45.46957016,-122.6496735,2,4,2613,2/24/2021,600000,640800,39879
7306 SE 30th Ave,Portland,97202,45.47187805,-122.632103,2,3,4791,2/10/2021,660000,702400,39879
2824 SE Division St,Portland,97202,45.50458145,-122.6370239,1,2,4791,8/13/2020,485000,602900,39879
7534 SE 34th Ave,Portland,97202,45.46921158,-122.6279144,3,4,9583,5/17/2021,1000000,1025100,39879
3935 SE Rex St,Portland,97202,45.46864319,-122.6219254,2,3,7405,10/5/2020,525000,642900,39879
915 SE Malden St,Portland,97202,45.46953583,-122.6565552,1,3,4791,5/9/2021,555000,562100,39879
7509 SE 30th Ave,Portland,97202,45.47034073,-122.6327209,2,3,7405,11/10/2020,850000,933100,39879
1636 SE Miller St,Portland,97202,45.46627808,-122.6482162,2,3,3920,3/29/2021,650000,684200,39879
3905 SE 11th Ave,Portland,97202,45.49442673,-122.6546707,2,4,5662,10/29/2020,500000,623500,39879
4135 SE 30th Ave,Portland,97202,45.49276733,-122.6349487,3,5,4791,7/9/2021,1135000,1137100,39879
4622 SE 35th Ave,Portland,97202,45.48946762,-122.6281128,3,3,3049,2/10/2021,620000,666400,39879
1832 SE Tacoma St,Portland,97202,45.46417618,-122.6453934,2,3,3484,10/30/2020,520000,579700,39879
935 SE Linn St,Portland,97202,45.45955276,-122.6561813,1,3,4791,10/30/2020,585000,652100,39879
1810 SE Reedway St,Portland,97202,45.48146439,-122.6471863,1,2,4791,4/28/2021,625000,648900,39879
2934 SE Francis St,Portland,97202,45.49456406,-122.6348267,1,3,3484,2/24/2021,525000,560700,39879
3414 SE Crystal Springs Blvd,Portland,97202,45.46524811,-122.6277237,4,5,30491,3/29/2021,1330000,1388600,39879
7928 SE 21st Ave,Portland,97202,45.46660995,-122.6427765,4,4,4791,4/29/2021,1150000,1181700,39879
7922 SE 30th Ave,Portland,97202,45.46722031,-122.632103,3,4,4791,3/9/2021,812000,854500,39879
3736 SE Tibbetts St,Portland,97202,45.5002861,-122.6244659,3,4,3920,7/21/2020,884617,994299,39879
3978 SE Boise St,Portland,97202,45.49215317,-122.6210785,3,4,4356,9/24/2020,790000,880400,39879
3588 SE Brooklyn St,Portland,97202,45.50100327,-122.6266327,2,4,4791,2/24/2021,675000,714100,39879
1631 SE Flavel St,Portland,97202,45.47107697,-122.6489258,1,2,4791,9/24/2020,580000,653100,39879
3645 SE Center St,Portland,97202,45.49427032,-122.6255798,2,3,4791,7/7/2021,580000,582800,39879
3725 SE Martins St,Portland,97202,45.47867966,-122.6241608,4,4,4791,6/3/2021,1101000,1121100,39879
7611 SE 32nd Ave,Portland,97202,45.46889877,-122.6306992,3,4,7405,11/19/2020,850000,930300,39879
1405 SE Long St,Portland,97202,45.4889679,-122.6514206,2,4,4791,6/23/2021,490000,495000,39879
3631 SE Lambert St,Portland,97202,45.46727371,-122.6254807,2,4,4791,7/21/2020,575000,653500,39879
7415 SE 31st Ave,Portland,97202,45.47085571,-122.6317062,3,3,4791,10/30/2020,855500,944700,39879
2606 SE 16th Ave,Portland,97202,45.50404358,-122.6493683,2,3,4791,7/9/2021,650000,654000,39879
2316 SE Taggart St,Portland,97202,45.50245285,-122.6421814,3,6,4791,11/2/2020,829500,915200,39879
3723 SE Flavel St,Portland,97202,45.46932983,-122.6237717,3,4,3484,7/19/2020,845000,948400,39879
6747 SE 31st Ave,Portland,97202,45.47394943,-122.6316833,2,4,9583,8/21/2020,1095000,1234300,39879
1335 SE Yukon St,Portland,97202,45.47952271,-122.6519547,2,3,4791,7/30/2020,587000,876400,39879
3805 SE Henry St,Portland,97202,45.4765358,-122.6234665,3,4,4791,7/16/2020,640000,728400,39879
3943 SE Cooper St,Portland,97202,45.4741478,-122.6214294,3,4,8712,7/30/2020,875000,989600,39879
7121 SE Reed College Pl,Portland,97202,45.47232056,-122.6296768,3,3,6098,7/27/2020,895000,1013100,39879
2855 SE Francis St,Portland,97202,45.49500656,-122.6364594,2,3,4791,11/19/2020,607500,672800,39879
5306 SE 17th Ave,Portland,97202,45.48460007,-122.6481323,2,5,4791,11/19/2020,500000,553800,39879
3610 SE Tibbetts St,Portland,97202,45.50034332,-122.625946,2,4,4791,10/16/2020,611000,683800,39879
7436 SE 20th Ave,Portland,97202,45.47105408,-122.6441727,2,3,4791,2/10/2021,711000,757000,39879
3726 SE Lafayette Ct,Portland,97202,45.49591446,-122.6244888,1,3,5227,7/7/2021,500000,502400,39879
2811 SE 35th Pl,Portland,97202,45.50239944,-122.6275864,1,3,5662,11/19/2020,622000,688900,39879
4328 SE 9th Ave,Portland,97202,45.49170685,-122.6550522,2,2,3484,10/19/2020,305000,538900,39879
3736 SE 32nd Ave,Portland,97202,45.49547577,-122.6321487,3,4,4791,4/6/2021,791250,823400,39879
3450 SE 8th Ave,Portland,97202,45.4974556,-122.657547,2,4,3920,12/22/2020,621950,681500,39879
2418 SE Ivon St,Portland,97202,45.50387573,-122.6412125,3,3,4791,10/16/2020,780000,865000,39879
705 SE Franklin St,Portland,97202,45.49986649,-122.6585388,2,3,5662,12/22/2020,629000,689400,39879
3209 SE 31st Ave,Portland,97202,45.4995842,-122.6338196,4,5,4791,4/6/2021,860000,894900,39879
3642 SE 37th Ave,Portland,97202,45.49648285,-122.6245804,1,3,4791,9/10/2020,530000,599200,39879
1204 SE Tenino St,Portland,97202,45.46339035,-122.6537933,3,4,4791,5/3/2021,1295000,1332900,39879
3915 SE 28th Ave,Portland,97202,45.49450302,-122.6379166,1,2,4791,11/21/2020,530000,587700,39879
3716 SE Woodstock Blvd,Portland,97202,45.47895432,-122.6245499,2,3,4791,9/24/2020,654639,729500,39879
1820 SE Reedway St,Portland,97202,45.48151016,-122.6469955,2,3,4791,7/19/2020,570000,648000,39879
2130 SE Lambert St,Portland,97202,45.46808624,-122.6422577,4,4,4791,9/24/2020,905000,1008900,39879
7134 SE 17th Ave,Portland,97202,45.4726944,-122.6472778,2,3,4791,5/21/2021,580000,596300,39879
7924 SE 7th Ave,Portland,97202,45.4667511,-122.658783,2,3,2613,7/1/2021,700000,704600,39879
1416 SE Bidwell St,Portland,97202,45.46766663,-122.6516113,2,4,4791,9/10/2020,560000,633300,39879
5808 SE 23rd Ave,Portland,97202,45.4806633,-122.6423645,2,4,8712,6/11/2021,545000,555100,39879
3817 SE 9th Ave,Portland,97202,45.49465561,-122.6568451,1,3,5227,4/14/2021,593817,620500,39879
3646 SE 33rd Ave,Portland,97202,45.4960556,-122.6311646,1,2,1742,3/7/2021,368000,392300,39879
1314 SE Marion St,Portland,97202,45.45989227,-122.6525955,4,4,2613,3/7/2021,775000,816300,39879
1205 SE Tolman St,Portland,97202,45.47737122,-122.6534042,4,4,6534,8/10/2020,1997900,2237500,39879
1144 SE Tenino St,Portland,97202,45.46344757,-122.6539841,3,5,4791,6/3/2021,1289000,1312500,39879
7406 SE 27th Ave,Portland,97202,45.47132492,-122.6351471,3,4,6098,8/10/2020,950000,1073800,39879
4805 SE 34th Ave,Portland,97202,45.48796463,-122.6296539,2,3,6098,9/10/2020,560000,633100,39879
6506 SE Cesar E Chavez Blvd,Portland,97202,45.47581863,-122.6224289,2,3,5662,5/17/2021,595000,615100,39879
7928 SE 28th Ave,Portland,97202,45.46763229,-122.6341324,2,4,4791,11/23/2020,749900,820000,39879
4315 SE 28th Ave,Portland,97202,45.49178696,-122.6379013,1,4,4791,9/10/2020,615000,695300,39879
8815 SE 12th Ave,Portland,97202,45.4588623,-122.654213,4,4,871,9/23/2020,525000,591500,39879
3834 SE 33rd Ave,Portland,97202,45.49492645,-122.6311722,1,3,5227,5/21/2021,625000,642600,39879
5730 SE 41st Ave,Portland,97202,45.48078537,-122.6202316,1,2,4791,11/10/2020,498000,553300,39879
4025 SE Glenwood St,Portland,97202,45.474823,-122.6209641,2,2,4791,11/10/2020,521000,578800,39879
7036 SE 17th Ave,Portland,97202,45.47324371,-122.6473465,1,3,4791,7/19/2020,606000,688900,39879
3058 SE Woodstock Blvd,Portland,97202,45.47886276,-122.6316376,3,3,13068,1/24/2021,925000,990900,39879
5304 SE 34th Ave,Portland,97202,45.48454666,-122.6290207,2,3,7840,9/23/2020,565000,636500,39879
3377 SE Raymond St,Portland,97202,45.48726273,-122.6291199,3,3,8712,7/10/2020,685000,772491,39879
8027 SE 6th Ave,Portland,97202,45.4653511,-122.6602097,3,3,1306,6/17/2021,707000,715300,39879
6220 SE 23rd Ave,Portland,97202,45.47801208,-122.6420135,2,4,10454,11/9/2020,535000,594600,39879
3924 SE Ivon St,Portland,97202,45.50385284,-122.6220398,2,4,3484,4/29/2021,800000,825600,39879
4752 SE 34th Ave,Portland,97202,45.4884491,-122.629097,2,3,6534,6/17/2021,657000,664000,39879
6222 SE 30th Ave,Portland,97202,45.47694016,-122.6320953,4,4,6098,11/5/2020,845000,928700,39879
2604 SE 32nd Ave,Portland,97202,45.50395966,-122.6322403,2,4,4791,4/29/2021,791000,815200,39879
3620 SE Francis St,Portland,97202,45.49454498,-122.6261673,2,3,4791,8/13/2020,620500,707500,39879
7508 SE 31st Ave,Portland,97202,45.47023773,-122.6310883,2,3,4791,11/9/2020,810000,889400,39879
7531 SE 35th Ave,Portland,97202,45.46897888,-122.6275253,3,4,7840,4/29/2021,1500000,1545800,39879
6418 SE 36th Ave,Portland,97202,45.47600174,-122.6262436,2,2,6098,4/9/2021,715000,743400,39879
3619 SE Lexington St,Portland,97202,45.46659088,-122.6256638,4,4,4791,11/5/2020,1000000,1099100,39879
8405 SE 8th Ave,Portland,97202,45.46203613,-122.6583023,1,1,4791,11/5/2020,370000,418300,39879
2717 SE 18th Ave,Portland,97202,45.50317764,-122.6479721,1,2,3920,4/28/2021,610000,633300,39879
2605 SE 34th Ave,Portland,97202,45.5039444,-122.6298218,2,4,3920,6/17/2021,675000,683500,39879
6420 SE 28th Ave,Portland,97202,45.47606659,-122.6343155,4,4,15681,11/2/2020,1047500,1155700,39879
6332 SE 17th Ave,Portland,97202,45.4768486,-122.6477814,2,4,4791,4/15/2021,652000,675900,39879
3522 SE Brooklyn St,Portland,97202,45.50100708,-122.6280289,3,4,3920,9/23/2020,740333,825600,39879
7826 SE 36th Ave,Portland,97202,45.46665955,-122.6259308,3,4,4356,8/10/2020,762000,861300,39879
4024 SE 32nd Ave,Portland,97202,45.4936676,-122.6324158,3,4,4791,6/11/2021,752500,763800,39879
1659 SE Lambert St,Portland,97202,45.46846771,-122.6476593,4,4,2178,12/7/2020,715000,778500,39879
3715 SE Tolman St,Portland,97202,45.47725677,-122.6245575,3,3,4791,6/11/2021,725000,735900,39879
5031 SE 37th Ave,Portland,97202,45.48613739,-122.6249847,2,4,4791,10/15/2020,480000,537400,39879
1002 SE Umatilla St,Portland,97202,45.462677,-122.6558304,3,3,2613,11/24/2020,580000,641600,39879
3867 SE 41st Ave,Portland,97202,45.49488449,-122.6201248,1,2,3049,12/4/2020,510000,562400,39879
1006 SE Nehalem St,Portland,97202,45.4655304,-122.6557846,1,2,4791,11/24/2020,490000,541900,39879
6615 SE 16th Ave,Portland,97202,45.47484207,-122.6503143,2,3,5227,11/24/2020,492500,544600,39879
2326 SE Taggart St,Portland,97202,45.50245285,-122.6419907,2,5,4791,9/10/2020,659000,738000,39879
4049 SE Pardee St,Portland,97202,45.48976517,-122.6207123,2,3,6534,6/11/2021,675000,685100,39879
2940 SE Woodward St,Portland,97202,45.50172424,-122.6346588,2,5,4791,3/4/2021,790000,833400,39879
3411 SE Tibbetts St,Portland,97202,45.50073242,-122.6292648,1,3,3920,6/11/2021,715000,726700,39879
7316 SE 31st Ave,Portland,97202,45.47154236,-122.6311035,4,4,10018,7/15/2021,1150000,1151300,39879
2834 SE Brooklyn St,Portland,97202,45.50101471,-122.6367874,2,3,6098,6/15/2021,1000000,1011400,39879
2822 SE 28th Ave,Portland,97202,45.50231552,-122.6373825,2,3,3920,10/8/2020,600000,673100,39879
4118 SE 11th Ave,Portland,97202,45.49331284,-122.6538849,2,2,4791,4/15/2021,598000,624600,39879
7616 SE 28th Ave,Portland,97202,45.46970749,-122.63414,4,5,10018,6/15/2021,2041500,2064800,39879
3115 SE Franklin St,Portland,97202,45.49930954,-122.6331558,2,2,3920,11/24/2020,500000,553100,39879
1416 SE Clatsop St,Portland,97202,45.46053696,-122.651619,3,3,4791,5/3/2021,955000,983000,39879
5353 SE 38th Ave,Portland,97202,45.48387909,-122.6239243,2,3,5227,7/7/2021,553000,555600,39879
3653 SE Gladstone St,Portland,97202,45.49358368,-122.6253815,3,6,4791,11/24/2020,649900,718900,39879
4130 SE Taggart St,Portland,97202,45.50242996,-122.6197205,3,4,4791,11/9/2020,821000,901500,39879
2821 SE 29th Ave,Portland,97202,45.50236511,-122.6359177,2,3,4791,10/8/2020,537500,602800,39879
6223 SE 31st Ave,Portland,97202,45.47701645,-122.631691,3,4,4791,7/27/2020,788000,891700,39879
4005 SE Knapp St,Portland,97202,45.47070313,-122.6216049,4,4,4356,6/15/2021,965000,976000,39879
1413 SE Knight St,Portland,97202,45.48028564,-122.6513443,1,1,5662,11/9/2020,520000,577900,39879
6213 SE 21st Ave,Portland,97202,45.47789001,-122.6445465,1,2,4791,3/29/2021,620000,652900,39879
903-915 SE Franklin St,Portland,97202,45.49982834,-122.6565247,1,2,3722,10/27/2020,580000,647100,39879
7436 SE 19th Ave,Portland,97202,45.4710083,-122.6450806,2,3,4791,3/4/2021,622060,662000,39879
7204 SE 32nd Ave,Portland,97202,45.47215652,-122.6300735,2,3,4791,8/10/2020,779000,880800,39879
1346 SE Tenino St,Portland,97202,45.46339035,-122.6520004,3,4,4791,3/4/2021,800000,843900,39879
4046 SE Kelly St,Portland,97202,45.49956894,-122.6205063,3,5,7840,12/30/2020,753000,814000,39879
3925 SE Lexington St,Portland,97202,45.46659088,-122.6218796,2,3,9147,7/30/2020,649000,743000,39879
1602 SE Miller St,Portland,97202,45.46627808,-122.6488037,2,3,3484,9/10/2020,631000,713600,39879
4156 SE Glenwood St,Portland,97202,45.47447205,-122.6197586,3,3,5662,9/21/2020,585000,751500,39879
7552 SE 29th Ave,Portland,97202,45.4699707,-122.6332245,4,5,4791,5/12/2021,1410000,1446000,39879
7034 SE 34th Ave,Portland,97202,45.47267914,-122.6279221,4,4,10018,5/12/2021,1200000,1230100,39879
722 SE Bidwell St,Portland,97202,45.46767044,-122.6583862,1,2,4791,5/12/2021,705000,722700,39879
1532 SE Tenino St,Portland,97202,45.46338654,-122.6502075,2,2,5227,1/13/2021,591000,642700,39879
1805 SE Sherrett St,Portland,97202,45.46168518,-122.6458588,1,2,4791,6/3/2021,478500,488900,39879
3745 SE 10th Ave,Portland,97202,45.49566269,-122.6561356,3,4,5227,2/26/2021,745000,787800,39879
7277 SE 14th Ave,Portland,97202,45.47187042,-122.6518707,4,4,4791,5/26/2021,1275000,1299600,39879
3310 SE Claybourne St,Portland,97202,45.47467422,-122.6289368,3,5,6969,5/12/2021,945000,970300,39879
3626 SE 8th Ave,Portland,97202,45.49653244,-122.6575623,3,3,4356,6/15/2021,551155,560300,39879
4331 SE 37th Ave,Portland,97202,45.49123383,-122.6248474,3,4,2613,6/14/2021,589000,599100,39879
7224 SE 18th Ave,Portland,97202,45.47234344,-122.6462555,2,2,4791,9/10/2020,591000,668400,39879
2747 SE 37th Ave #A,Portland,97202,45.50267029,-122.6255341,2,3,5000,5/12/2021,885000,908700,39879
916 SE Clatsop St,Portland,97202,45.4605484,-122.6565704,1,2,4700,4/15/2021,486500,508100,39879
1932 SE Sherrett St,Portland,97202,45.46124649,-122.6442566,2,3,4791,1/13/2021,540000,587000,39879
4018 SE Bybee Blvd,Portland,97202,45.47225189,-122.6215363,2,3,4356,7/7/2020,623500,711300,39879
3830 SE 16th Ave,Portland,97202,45.49485779,-122.6489639,2,3,871,3/3/2021,345000,367500,39879
3909 SE Boise St,Portland,97202,45.49249649,-122.6222687,3,3,1306,12/4/2020,500000,551300,39879
3579 SE Holgate Blvd,Portland,97202,45.49050522,-122.6270294,2,4,8276,12/4/2020,590500,791900,39879
3306 SE 31st Ave,Portland,97202,45.49892807,-122.6332474,2,3,5227,7/7/2021,630000,632800,39879
